,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene1,8.541317293979345,0.6328124766446601,0.2891009409020753,2.1888980183534144,0.028604253147617588,0.06414981225341741
gene2,21.281238743636653,0.5385519626968431,0.1499628388075166,3.591236115422545,0.00032911330010098916,0.0016455665005049459
gene3,5.010123488534718,-0.6328304835493662,0.2952356452967808,-2.1434758764078903,0.032074906126708706,0.06414981225341741
gene4,100.5179614203502,-0.4121016869839685,0.11862906873457692,-3.473867673242999,0.0005130139681412743,0.0017100465604709143
gene5,27.142450274078683,0.5820653852405732,0.15470550919571976,3.7624089036428265,0.0001682846126716335,0.0016455665005049459
gene6,5.413042747652502,0.0014572888359409,0.3103113468460864,0.004696215110250903,0.9962529762424096,0.9962529762424096
gene7,28.294023040460452,0.13433785294751224,0.14994451296825553,0.8959170981865316,0.37029704153096565,0.4114411572566285
gene8,40.35834442035557,-0.27065583296732376,0.13640133368542165,-1.9842608987352663,0.04722676273688067,0.07871127122813446
gene9,37.16618263398529,-0.21271466797772637,0.13324335168992577,-1.5964373852793832,0.11039117493432411,0.14314745871224138
gene10,11.589324902383556,0.38601089122503185,0.24458818731285564,1.5782074165801014,0.1145179669697931,0.14314745871224138
